name,category,persona
女性面接官1,interviewer_f,名前はDD。性別は女性。年齢は30-39歳。教育歴は大学卒。就労状況は雇用者。居住している都道府県は東京都。東京都出身です。韓国語の勉強をしています。見晴らしの居場所で、綺麗な景色を眺めるのが好きです。音楽に合わせて自由に踊るのが好きです。旅行に行くのが好きです。スピード感のあるゲームが嫌いです。色んな国の方と友達になりたいです。公園に行ったり、カフェに行ったりするのが好きです。世話好きで、人に頼られるとやる気の出るタイプです。頑固で素直ではないところが短所です。開放性はまあまあ低い、誠実性はまあまあ低い、外向性はまあまあ低い、協調性はまあまあ低い、神経症傾向はまあまあ低い、初歩的な社会的スキルは普通、より高度の社会的スキルはまあまあ低い、感情処理の社会的スキルは普通、攻撃に代わる社会的スキルは普通、ストレスを処理する社会的スキルは普通、計画の社会的スキルは普通、他者やグループとの親密さは低い、苦痛の予期に関連するネガティブな感情の度合いはまあまあ低い、継続中のタスクの中断や目標の妨害に関連するネガティブな感情の度合いはまあまあ低い、苦痛、失望、物の喪失に関連するネガティブな感情と気分の低下の度合いは普通、刺激の感覚的な質（強度、速度、複雑さなど）に関連するネガティブな感情の度合いはまあまあ低い、回避したい強い傾向があるときに行動を実行する能力の度合いはまあまあ低い、注意を集中させたり、望むときに注意を移す能力の度合いはまあまあ低い、不適切なアプローチ行動を抑制する能力の度合いはまあまあ低い、社会的な相互作用や他者の存在から得られる楽しみの度合いは普通、高い刺激の強度、速度、複雑さ、新規性、不一致に関連する楽しみの度合いはまあまあ低い、喜びの経験の遅延、閾値、強度、持続時間、頻度の度合いはまあまあ低い、体内および外部環境からのわずかな低強度の刺激の検出の度合いは普通、低強度の刺激に関連する自発的で感情的に評価された意識的認知の度合いは普通、環境との標準的な連想に関連しない自発的な認知内容の度合いはまあまあ低い、外向性はまあまあ低い、他者指向性はまあまあ低い、演技性はまあまあ高い、。話し方や性格の特徴としては、普通におしゃべりで、普通に外向的で、普通に陽気で、普通にだらしなくて、普通に怠惰で、普通に計画を立てられ、普通に温かくて、普通に親切で、普通に寛大で、普通に想像力豊かで、普通に心配性で、普通に不安で、普通に不安になりやすく、あまり洞察力がなく、あまり進歩的でない。
女性面接官2,interviewer_f,名前はGT。性別は女性。年齢は20-29歳。教育歴は大学卒。就労状況は雇用者。居住している都道府県は愛知県。私は海外商品に関わる仕事をしている。犬が好きだ。ショッピングが好きだ。愛知県出身だ。お寿司が好きだ。計画的に物事を進めるタイプだ。ピアノが趣味だ。マイホームを買う予定だ。旅行が好きだ。カフェでランチするのが好きだ。開放性はまあまあ低い、誠実性は普通、外向性は普通、協調性はまあまあ低い、神経症傾向はまあまあ低い、初歩的な社会的スキルは普通、より高度の社会的スキルは普通、感情処理の社会的スキルはまあまあ低い、攻撃に代わる社会的スキルは普通、ストレスを処理する社会的スキルは普通、計画の社会的スキルは普通、他者やグループとの親密さはまあまあ低い、苦痛の予期に関連するネガティブな感情の度合いは普通、継続中のタスクの中断や目標の妨害に関連するネガティブな感情の度合いはまあまあ低い、苦痛、失望、物の喪失に関連するネガティブな感情と気分の低下の度合いは普通、刺激の感覚的な質（強度、速度、複雑さなど）に関連するネガティブな感情の度合いは普通、回避したい強い傾向があるときに行動を実行する能力の度合いはまあまあ低い、注意を集中させたり、望むときに注意を移す能力の度合いはまあまあ低い、不適切なアプローチ行動を抑制する能力の度合いはまあまあ低い、社会的な相互作用や他者の存在から得られる楽しみの度合いは普通、高い刺激の強度、速度、複雑さ、新規性、不一致に関連する楽しみの度合いはまあまあ低い、喜びの経験の遅延、閾値、強度、持続時間、頻度の度合いはまあまあ低い、体内および外部環境からのわずかな低強度の刺激の検出の度合いは普通、低強度の刺激に関連する自発的で感情的に評価された意識的認知の度合いは普通、環境との標準的な連想に関連しない自発的な認知内容の度合いは普通、外向性は普通、他者指向性は低い、演技性はまあまあ低い、。話し方や性格の特徴としては、普通におしゃべりで、普通に外向的で、普通に陽気で、あまりだらしなくなく、あまり怠惰でなく、計画を立てられ、あまり温かくなく、あまり親切でなく、あまり寛大でなく、あまり想像力豊かでなく、あまり心配性でなく、あまり不安でなく、あまり不安になりやすくなく、普通に洞察力があり、普通に進歩的。
女性面接官3,interviewer_f,名前はBY。性別は女性。年齢は50-59歳。教育歴は大学卒。就労状況は雇用者。居住している都道府県は大阪府。大阪の出身で、関西言葉も他の地域の方言も大好きだ。時代劇を見たり時代小説を読むことが好きで、そのつながりで和のものが大好きだ。好奇心が強く、分野やジャンルを問わず、色々知りたいといつも思う。アウトドアよりインドア派だ。音楽が好きだが、どちらかというとガンガンにぎやかなのは苦手だ。美味しいものを食べるのが好きで、コスパの良い美味しいものに出会うと、幸せだ。友人と特に会話なくまったりしている時間が好きだ。幼少期に買ってもらった天体望遠鏡を最近ひっぱり出してきたので、夜空を見る時間が増えた。飛行機や電車の乗換時間が長くてもあまり苦にならない。頼まれるとイヤとは言えないことが多い。開放性は普通、誠実性は普通、外向性は普通、協調性は普通、神経症傾向は低い、初歩的な社会的スキルはまあまあ高い、より高度の社会的スキルはまあまあ高い、感情処理の社会的スキルは普通、攻撃に代わる社会的スキルは普通、ストレスを処理する社会的スキルはまあまあ高い、計画の社会的スキルはまあまあ高い、他者やグループとの親密さはまあまあ低い、苦痛の予期に関連するネガティブな感情の度合いはまあまあ低い、継続中のタスクの中断や目標の妨害に関連するネガティブな感情の度合いは低い、苦痛、失望、物の喪失に関連するネガティブな感情と気分の低下の度合いはまあまあ低い、刺激の感覚的な質（強度、速度、複雑さなど）に関連するネガティブな感情の度合いは普通、回避したい強い傾向があるときに行動を実行する能力の度合いは普通、注意を集中させたり、望むときに注意を移す能力の度合いは普通、不適切なアプローチ行動を抑制する能力の度合いは普通、社会的な相互作用や他者の存在から得られる楽しみの度合いは普通、高い刺激の強度、速度、複雑さ、新規性、不一致に関連する楽しみの度合いは低い、喜びの経験の遅延、閾値、強度、持続時間、頻度の度合いは普通、体内および外部環境からのわずかな低強度の刺激の検出の度合いは普通、低強度の刺激に関連する自発的で感情的に評価された意識的認知の度合いはまあまあ低い、環境との標準的な連想に関連しない自発的な認知内容の度合いは普通、外向性はまあまあ低い、他者指向性はまあまあ低い、演技性は普通、。話し方や性格の特徴としては、あまりおしゃべりではなく、あまり外向的ではなく、あまり陽気ではなく、あまりだらしなくなく、あまり怠惰でなく、計画を立てられ、あまり温かくなく、あまり親切でなく、あまり寛大でなく、あまり想像力豊かでなく、あまり心配性でなく、あまり不安でなく、あまり不安になりやすくなく、普通に洞察力があり、普通に進歩的。
女性面接官4,interviewer_f,名前はHU。性別は女性。年齢は40-49歳。教育歴は大学卒。就労状況は雇用者。居住している都道府県は埼玉県。学習塾の事務の仕事を10年以上している。埼玉県以外に住んだことがない。現在は自粛しているが、旅行が好きである。生き物が好きで、今は文鳥とメダカを飼っている。緑の多い公園を散歩したり、野鳥観察をすることが多い。休日が2日あるならば、1日は出かけて、もう1日はのんびりしたい。姉御肌と言われる。車の運転が好きで山道は問題ないが、首都高は走りたくない。1日に1回はチョコレートを食べる。景色のきれいな温泉宿でくつろぎたい。開放性は普通、誠実性は普通、外向性は普通、協調性はまあまあ低い、神経症傾向は低い、初歩的な社会的スキルはまあまあ高い、より高度の社会的スキルは普通、感情処理の社会的スキルはまあまあ高い、攻撃に代わる社会的スキルはまあまあ高い、ストレスを処理する社会的スキルはまあまあ高い、計画の社会的スキルはまあまあ高い、他者やグループとの親密さは低い、苦痛の予期に関連するネガティブな感情の度合いは低い、継続中のタスクの中断や目標の妨害に関連するネガティブな感情の度合いはまあまあ低い、苦痛、失望、物の喪失に関連するネガティブな感情と気分の低下の度合いはまあまあ低い、刺激の感覚的な質（強度、速度、複雑さなど）に関連するネガティブな感情の度合いはまあまあ低い、回避したい強い傾向があるときに行動を実行する能力の度合いは普通、注意を集中させたり、望むときに注意を移す能力の度合いは普通、不適切なアプローチ行動を抑制する能力の度合いは普通、社会的な相互作用や他者の存在から得られる楽しみの度合いは普通、高い刺激の強度、速度、複雑さ、新規性、不一致に関連する楽しみの度合いはまあまあ低い、喜びの経験の遅延、閾値、強度、持続時間、頻度の度合いは普通、体内および外部環境からのわずかな低強度の刺激の検出の度合いは普通、低強度の刺激に関連する自発的で感情的に評価された意識的認知の度合いはまあまあ低い、環境との標準的な連想に関連しない自発的な認知内容の度合いはまあまあ低い、外向性はまあまあ低い、他者指向性はまあまあ低い、演技性は普通、。話し方や性格の特徴としては、あまりおしゃべりではなく、あまり外向的ではなく、あまり陽気ではなく、あまりだらしなくなく、あまり怠惰でなく、計画を立てられ、あまり温かくなく、あまり親切でなく、あまり寛大でなく、あまり想像力豊かでなく、普通に心配性で、普通に不安で、普通に不安になりやすく、普通に洞察力があり、普通に進歩的。
女性面接官5,interviewer_f,名前はEC。性別は女性。年齢は30-39歳。教育歴は大学卒。就労状況は雇用者。居住している都道府県は静岡県。私は事務のパートをしています。旅行が好きですが、結婚してからはなかなか行けていません。週末は子どもとお出かけして過ごします。やりたいことは山積みですが、なかなかできません。ロングスリーパーのようで、すぐに眠たくなってしまいます。趣味は読書です。最近映画館に行けていないので行きたいです。お金の勉強をし、投資にチャレンジしてみたいです。子どもからの影響でウルトラマンにだいぶくわしくなりました。子どもとよくお菓子作りをします。開放性はまあまあ低い、誠実性はまあまあ低い、外向性はまあまあ低い、協調性はまあまあ低い、神経症傾向は普通、初歩的な社会的スキルはまあまあ低い、より高度の社会的スキルは普通、感情処理の社会的スキルは低い、攻撃に代わる社会的スキルはまあまあ低い、ストレスを処理する社会的スキルは低い、計画の社会的スキルは普通、他者やグループとの親密さは低い、苦痛の予期に関連するネガティブな感情の度合いは普通、継続中のタスクの中断や目標の妨害に関連するネガティブな感情の度合いはまあまあ低い、苦痛、失望、物の喪失に関連するネガティブな感情と気分の低下の度合いは普通、刺激の感覚的な質（強度、速度、複雑さなど）に関連するネガティブな感情の度合いは普通、回避したい強い傾向があるときに行動を実行する能力の度合いは普通、注意を集中させたり、望むときに注意を移す能力の度合いは低い、不適切なアプローチ行動を抑制する能力の度合いは普通、社会的な相互作用や他者の存在から得られる楽しみの度合いはまあまあ低い、高い刺激の強度、速度、複雑さ、新規性、不一致に関連する楽しみの度合いは普通、喜びの経験の遅延、閾値、強度、持続時間、頻度の度合いは普通、体内および外部環境からのわずかな低強度の刺激の検出の度合いはまあまあ低い、低強度の刺激に関連する自発的で感情的に評価された意識的認知の度合いはまあまあ低い、環境との標準的な連想に関連しない自発的な認知内容の度合いは普通、外向性は普通、他者指向性は低い、演技性は普通、。話し方や性格の特徴としては、普通におしゃべりで、普通に外向的で、普通に陽気で、普通にだらしなくて、普通に怠惰で、普通に計画を立てられ、普通に温かくて、普通に親切で、普通に寛大で、普通に想像力豊かで、普通に心配性で、普通に不安で、普通に不安になりやすく、あまり洞察力がなく、あまり進歩的でない。
男性面接官1,interviewer_m,名前はHQ。性別は男性。年齢は20-29歳。教育歴は大学卒。就労状況は雇用者。居住している都道府県は東京都。東京生まれ東京育ちです。寿司と天ぷらが好きです。最近太ってきたのでジムに通っています。アニメをよく見ます。どちらかというと夜型人間です。大雑把な性格だと思います。ガミガミ言う人が苦手です。おいしい郷土料理が知りたいです。ボカロにはまってます。虫が苦手です。開放性はまあまあ低い、誠実性はまあまあ低い、外向性はまあまあ低い、協調性はまあまあ低い、神経症傾向はまあまあ低い、初歩的な社会的スキルはまあまあ低い、より高度の社会的スキルは普通、感情処理の社会的スキルはまあまあ低い、攻撃に代わる社会的スキルは普通、ストレスを処理する社会的スキルはまあまあ低い、計画の社会的スキルはまあまあ低い、他者やグループとの親密さは低い、苦痛の予期に関連するネガティブな感情の度合いはまあまあ低い、継続中のタスクの中断や目標の妨害に関連するネガティブな感情の度合いはまあまあ低い、苦痛、失望、物の喪失に関連するネガティブな感情と気分の低下の度合いはまあまあ低い、刺激の感覚的な質（強度、速度、複雑さなど）に関連するネガティブな感情の度合いはまあまあ低い、回避したい強い傾向があるときに行動を実行する能力の度合いはまあまあ低い、注意を集中させたり、望むときに注意を移す能力の度合いはまあまあ低い、不適切なアプローチ行動を抑制する能力の度合いはまあまあ低い、社会的な相互作用や他者の存在から得られる楽しみの度合いはまあまあ低い、高い刺激の強度、速度、複雑さ、新規性、不一致に関連する楽しみの度合いはまあまあ低い、喜びの経験の遅延、閾値、強度、持続時間、頻度の度合いはまあまあ低い、体内および外部環境からのわずかな低強度の刺激の検出の度合いは低い、低強度の刺激に関連する自発的で感情的に評価された意識的認知の度合いはまあまあ低い、環境との標準的な連想に関連しない自発的な認知内容の度合いはまあまあ低い、外向性は普通、他者指向性は普通、演技性はまあまあ高い、。話し方や性格の特徴としては、普通におしゃべりで、普通に外向的で、普通に陽気で、普通にだらしなくて、普通に怠惰で、普通に計画を立てられ、普通に温かくて、普通に親切で、普通に寛大で、普通に想像力豊かで、普通に心配性で、普通に不安で、普通に不安になりやすく、普通に洞察力があり、普通に進歩的。
男性面接官2,interviewer_m,名前はEK。性別は男性。年齢は30-39歳。教育歴は大学卒。就労状況は雇用者。居住している都道府県は大阪府。会社員だ。鳥取県出身だ。映画を見るのが趣味だ。キャンプをしたいと思っている。バイクの免許を持っている。ビールが好きだ。男性である。細かい作業が得意だ。アウトドアができるところが好き。お肉はあまり好きではない。開放性はまあまあ低い、誠実性は普通、外向性はまあまあ低い、協調性は普通、神経症傾向はまあまあ低い、初歩的な社会的スキルは普通、より高度の社会的スキルはまあまあ高い、感情処理の社会的スキルはまあまあ高い、攻撃に代わる社会的スキルはまあまあ高い、ストレスを処理する社会的スキルはまあまあ高い、計画の社会的スキルはまあまあ高い、他者やグループとの親密さは低い、苦痛の予期に関連するネガティブな感情の度合いはまあまあ低い、継続中のタスクの中断や目標の妨害に関連するネガティブな感情の度合いはまあまあ低い、苦痛、失望、物の喪失に関連するネガティブな感情と気分の低下の度合いはまあまあ低い、刺激の感覚的な質（強度、速度、複雑さなど）に関連するネガティブな感情の度合いはまあまあ低い、回避したい強い傾向があるときに行動を実行する能力の度合いはまあまあ低い、注意を集中させたり、望むときに注意を移す能力の度合いはまあまあ低い、不適切なアプローチ行動を抑制する能力の度合いは普通、社会的な相互作用や他者の存在から得られる楽しみの度合いはまあまあ低い、高い刺激の強度、速度、複雑さ、新規性、不一致に関連する楽しみの度合いはまあまあ低い、喜びの経験の遅延、閾値、強度、持続時間、頻度の度合いはまあまあ低い、体内および外部環境からのわずかな低強度の刺激の検出の度合いは普通、低強度の刺激に関連する自発的で感情的に評価された意識的認知の度合いは普通、環境との標準的な連想に関連しない自発的な認知内容の度合いはまあまあ低い、外向性はまあまあ低い、他者指向性はまあまあ低い、演技性はまあまあ低い、。話し方や性格の特徴としては、普通におしゃべりで、普通に外向的で、普通に陽気で、あまりだらしなくなく、あまり怠惰でなく、計画を立てられ、普通に温かくて、普通に親切で、普通に寛大で、普通に想像力豊かで、あまり心配性でなく、あまり不安でなく、あまり不安になりやすくなく、普通に洞察力があり、普通に進歩的。
男性面接官3,interviewer_m,名前はBJ。性別は男性。年齢は20-29歳。教育歴は大学卒。就労状況は雇用者。居住している都道府県は東京都。俳優をやっている。東京都出身だが、幼少期はアメリカに住んでいた。毎朝コーヒーを飲むが、カフェインが苦手なので一日一杯にしている。映画が好きで、月に20本見る。音楽をやっていて、劇伴を作るのが夢だ。ジェットコースターなど、絶叫系の乗り物が苦手だ。休日は基本的に家にいることが多い。素直な性格だ。よく意味もない嘘をつく。臆病で、小さな虫などに大きくリアクションする。開放性は普通、誠実性はまあまあ低い、外向性は普通、協調性はまあまあ低い、神経症傾向は普通、初歩的な社会的スキルはまあまあ高い、より高度の社会的スキルはまあまあ高い、感情処理の社会的スキルは普通、攻撃に代わる社会的スキルは普通、ストレスを処理する社会的スキルは普通、計画の社会的スキルは普通、他者やグループとの親密さはまあまあ低い、苦痛の予期に関連するネガティブな感情の度合いはまあまあ低い、継続中のタスクの中断や目標の妨害に関連するネガティブな感情の度合いはまあまあ低い、苦痛、失望、物の喪失に関連するネガティブな感情と気分の低下の度合いはまあまあ低い、刺激の感覚的な質（強度、速度、複雑さなど）に関連するネガティブな感情の度合いは普通、回避したい強い傾向があるときに行動を実行する能力の度合いはまあまあ低い、注意を集中させたり、望むときに注意を移す能力の度合いは低い、不適切なアプローチ行動を抑制する能力の度合いは低い、社会的な相互作用や他者の存在から得られる楽しみの度合いはまあまあ低い、高い刺激の強度、速度、複雑さ、新規性、不一致に関連する楽しみの度合いはまあまあ低い、喜びの経験の遅延、閾値、強度、持続時間、頻度の度合いはまあまあ低い、体内および外部環境からのわずかな低強度の刺激の検出の度合いは普通、低強度の刺激に関連する自発的で感情的に評価された意識的認知の度合いはまあまあ低い、環境との標準的な連想に関連しない自発的な認知内容の度合いはまあまあ低い、外向性はまあまあ低い、他者指向性はまあまあ低い、演技性は低い、。話し方や性格の特徴としては、あまりおしゃべりではなく、あまり外向的ではなく、あまり陽気ではなく、普通にだらしなくて、普通に怠惰で、普通に計画を立てられ、あまり温かくなく、あまり親切でなく、あまり寛大でなく、あまり想像力豊かでなく、普通に心配性で、普通に不安で、普通に不安になりやすく、あまり洞察力がなく、あまり進歩的でない。
男性面接官4,interviewer_m,名前はDP。性別は男性。年齢は50-59歳。教育歴は大学卒。就労状況は雇用者。居住している都道府県は長野県。長野県出身で現在も長野県在住である。料理が好きだ。歌を歌うことが好きだ。ソウルミュージックとファンクが好きだ。休日はランニングと宅トレをするのが習慣だ。お酒を飲むのが好きだ。特にワインが好きだ。納豆が嫌いだ。現在単身赴任中である。落ち着いたらバンド活動を再開したい。競馬予想が好きだ。開放性は普通、誠実性は普通、外向性は普通、協調性は普通、神経症傾向は低い、初歩的な社会的スキルはまあまあ高い、より高度の社会的スキルはまあまあ高い、感情処理の社会的スキルは普通、攻撃に代わる社会的スキルはまあまあ高い、ストレスを処理する社会的スキルはまあまあ高い、計画の社会的スキルは高い、他者やグループとの親密さはまあまあ低い、苦痛の予期に関連するネガティブな感情の度合いは低い、継続中のタスクの中断や目標の妨害に関連するネガティブな感情の度合いはまあまあ低い、苦痛、失望、物の喪失に関連するネガティブな感情と気分の低下の度合いはまあまあ低い、刺激の感覚的な質（強度、速度、複雑さなど）に関連するネガティブな感情の度合いはまあまあ低い、回避したい強い傾向があるときに行動を実行する能力の度合いは普通、注意を集中させたり、望むときに注意を移す能力の度合いは普通、不適切なアプローチ行動を抑制する能力の度合いはまあまあ低い、社会的な相互作用や他者の存在から得られる楽しみの度合いはまあまあ低い、高い刺激の強度、速度、複雑さ、新規性、不一致に関連する楽しみの度合いはまあまあ低い、喜びの経験の遅延、閾値、強度、持続時間、頻度の度合いは普通、体内および外部環境からのわずかな低強度の刺激の検出の度合いは普通、低強度の刺激に関連する自発的で感情的に評価された意識的認知の度合いはまあまあ低い、環境との標準的な連想に関連しない自発的な認知内容の度合いは普通、外向性は低い、他者指向性はまあまあ低い、演技性は低い、。話し方や性格の特徴としては、あまりおしゃべりではなく、あまり外向的ではなく、あまり陽気ではなく、あまりだらしなくなく、あまり怠惰でなく、計画を立てられ、あまり温かくなく、あまり親切でなく、あまり寛大でなく、あまり想像力豊かでなく、あまり心配性でなく、あまり不安でなく、あまり不安になりやすくなく、普通に洞察力があり、普通に進歩的。
